Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
used bentley for sale uk,Transactional,210,20,0.33,1.00,29,3,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,20800000
used luxury autos,Commercial,210,43,0.38,0.73,8,3,https://www.grange.co.uk/,https://www.hrowen.co.uk/approved-used/,520000000
used rolls royce cullinan,Commercial,210,12,0.18,0.50,15,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/cullinan,https://www.hrowen.co.uk/rolls-royce/cullinan-range/,3100000
used rolls royce wraith,Commercial,210,17,0.18,0.39,17,7,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/wraith,https://www.hrowen.co.uk/rolls-royce/used-cars/,1960000
bentley continental gt used car,Commercial,170,17,0.23,1.00,9,4,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,4960000
bentley continental gt used cars,Commercial,170,26,0.23,1.00,7,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,5350000
bentley dealers used cars,Commercial,170,36,0.63,0.98,6,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,26100000
bentley gt continental used,Commercial,170,18,0.23,1.00,19,2,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/continental-gt/,6090000
luxury used cars,Commercial,170,39,0.38,0.73,5,2,https://www.grange.co.uk/,https://www.hrowen.co.uk/approved-used/,501000000
used aston martin for sale uk,Transactional,170,35,0.16,0.88,10,7,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,20800000
used bentley cars for sale uk,Transactional,170,30,0.33,1.00,26,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,10700000
used bently for sale,Transactional,170,22,0.35,1.00,35,5,https://www.grange.co.uk/bentley/used-cars/bentley,https://www.hrowen.co.uk/bentley/used-cars/,31900000
used rolls royce ghost,Commercial,170,16,0.37,0.37,12,2,https://www.grange.co.uk/rolls-royce/used-cars/rolls-royce/ghost-series-ii,https://www.hrowen.co.uk/rolls-royce/ghost-range/,5000000
aston martin ad for used cars,Commercial,140,16,0.00,0.10,21,19,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,38300000
aston martin works used cars,"Informational, Transactional",140,33,1.26,0.04,37,16,https://www.grange.co.uk/aston-martin/used-cars/aston-martin,https://www.hrowen.co.uk/aston-martin/used-cars/,12000000
bentley car used,Commercial,140,27,0.45,1.00,7,3,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/used-cars/,80500000
